0.001440 0.003034 0.002354
0.001120 0.004591 0.005780
0.001631 0.006474 0.006818
0.001860 0.007979 0.008407
0.002164 0.010344 0.009836
0.002781 0.012206 0.012676
0.005224 0.016632 0.017296
0.006054 0.021011 0.020196
0.003926 0.021922 0.022002
0.012946 0.033904 0.033381
0.014387 0.042872 0.028113
0.007954 0.030066 0.025887
0.005539 0.029569 0.029157
0.006015 0.034929 0.032694
0.007020 0.032784 0.032308
0.010407 0.039957 0.037640
0.006230 0.040846 0.044454
0.008952 0.043902 0.045999
0.009733 0.045359 0.050766
0.008382 0.042616 0.052366
0.012351 0.056719 0.058359
0.012427 0.049861 0.057442
0.010751 0.048459 0.060543
0.010934 0.054955 0.060855
0.014722 0.051948 0.060484
0.009747 0.057285 0.067882
0.009811 0.062043 0.073637
0.013460 0.070389 0.077203
0.025524 0.071430 0.087660
0.011455 0.070555 0.089306
0.027639 0.075242 0.094803
0.030755 0.083923 0.092456
0.013541 0.069105 0.090005
0.017033 0.069364 0.092496
0.013307 0.070510 0.090870
0.018381 0.071380 0.088254
0.016868 0.072994 0.099023
0.021084 0.081397 0.105799
0.014128 0.080218 0.094666
0.016391 0.091406 0.107304
0.039042 0.099167 0.101070
0.015031 0.078955 0.107269
0.015442 0.086569 0.105212
0.015652 0.093504 0.128226
0.018428 0.091576 0.107259
0.016734 0.086399 0.117114
0.043592 0.109803 0.134519
0.022602 0.094083 0.112015
0.023046 0.099539 0.117068
0.018781 0.095101 0.113334
0.018028 0.101120 0.119686
0.030974 0.107091 0.126882
0.019668 0.103448 0.135689
0.024819 0.110623 0.121300
0.020760 0.110488 0.128373
0.028224 0.117083 0.151352
0.053174 0.135144 0.153182
0.051899 0.139379 0.157364
0.056597 0.140884 0.160025
0.054112 0.143306 0.138462
0.025240 0.119340 0.146299
0.024363 0.120491 0.135459
0.035874 0.152400 0.171115
0.061372 0.156619 0.153415
0.028631 0.130884 0.145734
0.025245 0.129782 0.143830
0.028880 0.129441 0.153107
0.037072 0.140083 0.156552
0.042513 0.136714 0.158575
0.026532 0.131227 0.156599
0.030767 0.139839 0.153977
0.026231 0.133525 0.158619
0.027299 0.140786 0.161627
0.032694 0.138691 0.167696
0.036527 0.145364 0.166912
0.036342 0.156876 0.168488
0.036868 0.152520 0.176506
0.042834 0.163420 0.170405
0.040647 0.157875 0.172384
0.037279 0.164844 0.190793
0.076452 0.188538 0.203934
0.077926 0.188180 0.207635
0.074819 0.191267 0.217117
0.077629 0.186320 0.189316
0.039776 0.163648 0.189558
0.046438 0.169986 0.191521
0.055999 0.205809 0.228552
0.047981 0.181895 0.220917
0.036955 0.173031 0.206043
0.041675 0.175965 0.190163
0.051680 0.180908 0.199802
0.051037 0.176097 0.199862
0.041740 0.175993 0.224401
0.064646 0.188608 0.209050
0.046342 0.187140 0.207010
0.051505 0.180035 0.206523
0.053023 0.181399 0.207112
0.045147 0.187913 0.208761
0.055996 0.196929 0.218216
